dialogue_id,turn_id,prefix_text,is_end,length_words,length_chars,last_word,ends_with_punct,has_question_word,last_pos,ends_with_prep
PMUL3104.json,4,I need to depart broxbourne and travel,0,7,38,travel,0,0,NOUN,0
MUL1679.json,8,I don't need to book it yet. What's,0,8,35,what's,0,0,PRON,0
PMUL1501.json,14,"Yes, we'll need",0,3,15,need,0,0,VERB,0
PMUL1555.json,6,I also need a,0,4,13,a,0,0,DET,0
PMUL2395.json,0,I am looking for a cheap modern European restaurant. Can you,0,11,60,you,0,0,PRON,0
PMUL0199.json,0,Hi. I'm looking for a relatively expensive international restaurant to dine at this evening. Is there one that you,0,19,114,you,0,0,PRON,0
MUL1992.json,4,"Well, that's a little early, but it should work. I'd like to make a booking for",0,16,79,for,0,0,ADP,1
PMUL2289.json,0,"Yeah, my wife and kids are",0,6,26,are,0,0,AUX,0
PMUL2679.json,2,I'm not too,0,3,11,too,0,0,ADV,0
MUL1867.json,2,"Yes, I'd love to visit a college. Is",0,8,36,is,0,0,AUX,0
PMUL0383.json,2,I have no specific area,0,5,23,area,0,0,NOUN,0
MUL1592.json,14,Yes I need it booked,0,5,20,booked,0,0,VERB,0
PMUL0504.json,0,I need to catch a train in,0,7,26,in,0,0,ADP,1
PMUL0849.json,8,Yes please book,0,3,15,book,0,0,PROPN,0
MUL2219.json,6,I'm sorry. Yes. Please book the,0,6,31,the,0,0,DET,0
MUL1464.json,8,I think I,0,3,9,i,0,0,PRON,0
MUL1057.json,6,"I would like a three star hotel,",0,7,32,"hotel,",0,0,NOUN,0
PMUL4937.json,6,Yes you can! I'm also looking for information,0,8,45,information,0,0,NOUN,0
SNG01622.json,2,I,0,1,1,i,0,0,PRON,0
PMUL1603.json,4,I need to leave after 14:45. I would like the,0,10,45,the,0,0,DET,0
PMUL4829.json,10,"No thanks on the booking, we will do that later but that hotel is a fit for me. I am set, thank you for your",0,25,108,your,0,0,PRON,0
PMUL2650.json,10,I just want to find somewhere in the,0,8,36,the,0,0,DET,0
MUL0410.json,0,While in Cambridge,0,3,18,cambridge,0,0,PROPN,0
MUL0169.json,12,I,0,1,1,i,0,0,PRON,0
PMUL2800.json,10,No not,0,2,6,not,0,0,PART,0
PMUL1501.json,8,Yes please for 4 people,0,5,23,people,0,0,NOUN,0
SNG01966.json,2,I need to leave from the lucky,0,7,30,lucky,0,0,ADJ,0
SSNG0319.json,2,I,0,1,1,i,0,0,PRON,0
SNG0760.json,6,I would like a room,0,5,19,room,0,0,NOUN,0
PMUL4100.json,6,Sounds good. There are a,0,5,24,a,0,0,DET,0
MUL2404.json,8,"That sounds nice.Sure, I like a reservation in the",0,9,50,the,0,0,DET,0
MUL1363.json,18,"Yes, may I confirm the",0,5,22,the,0,0,DET,0
PMUL3572.json,12,That sounds great. May I,0,5,24,i,0,0,PRON,0
PMUL3114.json,16,I,0,1,1,i,0,0,PRON,0
PMUL3879.json,10,"Alright, I need rooms for the same group on the",0,10,47,the,0,0,DET,0
PMUL3757.json,6,"Yes, that is perfect! Can you also find a restaurant in the centre? I'm looking",0,15,79,looking,0,0,VERB,0
PMUL2108.json,12,"Sorry, you know what, I'll just walk in and demand",0,10,50,demand,0,0,NOUN,0
MUL2262.json,12,"no,",0,1,3,"no,",0,0,INTJ,0
PMUL3135.json,8,"That's fine, can you find one in the",0,8,36,the,0,0,DET,0
SSNG0372.json,0,Hey I'm looking for,0,4,19,for,0,0,ADP,1
PMUL0487.json,10,"No, any",0,2,7,any,0,0,DET,0
MUL0649.json,0,"I would like to book a train that is running on Tuesday and departs anytime after 20:15,",0,17,88,"20:15,",0,0,NUM,0
PMUL2159.json,8,"Thanks, I am also looking for somewhere to go in",0,10,48,in,0,0,ADP,1
